edad,ingresos_mensuales,antiguedad_laboral_anios,deuda_total,porcentaje_uso_credito,morosidad_12m,historial_crediticio,tipo_empleo,region,tiene_tarjeta,solicitante_nuevo,apto
25,2650,9,29841,33.4,1,malo,dependiente,norte,1,0,0
66,2008,27,12356,14.0,1,bueno,dependiente,norte,0,0,1
18,6148,18,7131,54.1,0,bueno,dependiente,centro,0,0,1
27,2237,2,12123,36.0,1,regular,desempleado,metropolitana,0,0,0
29,5619,13,3020,23.5,3,bueno,dependiente,centro,1,0,0
32,1405,29,18542,33.9,1,bueno,desempleado,metropolitana,0,0,0
24,3274,12,6459,66.4,0,regular,dependiente,metropolitana,0,1,1
18,2863,15,7024,57.1,2,bueno,dependiente,centro,0,1,0
53,1580,15,5744,42.4,0,bueno,dependiente,metropolitana,1,1,1
68,2667,19,5397,57.4,2,bueno,dependiente,sur,1,0,1
24,4475,5,13178,21.8,1,bueno,independiente,centro,1,0,1
33,2076,25,9693,45.6,0,bueno,dependiente,centro,1,1,1
44,1047,29,12788,47.9,2,regular,dependiente,metropolitana,1,1,0
66,2419,4,8053,35.6,0,malo,independiente,metropolitana,0,0,1
54,1554,24,11606,53.7,0,bueno,independiente,metropolitana,0,0,1
57,2057,24,6044,29.4,1,malo,desempleado,metropolitana,0,0,0
48,2343,22,38592,55.2,0,regular,desempleado,centro,1,1,0
39,1040,11,2704,56.0,1,regular,independiente,metropolitana,1,0,0
28,1088,14,19588,0.0,1,regular,estudiante,metropolitana,1,1,0
62,3106,25,21111,68.8,1,regular,independiente,centro,1,0,0
59,1879,4,4463,0.0,0,malo,dependiente,norte,0,1,0
19,677,24,38580,32.7,0,bueno,independiente,centro,0,1,0
55,3613,27,16266,65.5,2,bueno,dependiente,metropolitana,0,1,0
22,2797,20,15991,38.7,0,bueno,independiente,centro,1,0,1
56,1708,10,8264,15.7,1,bueno,desempleado,sur,1,1,0
60,1263,16,6960,23.1,0,regular,dependiente,norte,0,1,1
24,3707,1,6998,65.5,1,bueno,estudiante,centro,0,0,1
40,2906,27,10651,6.6,0,bueno,desempleado,sur,1,0,1
24,8033,10,21608,67.6,0,bueno,dependiente,norte,1,0,1
47,3011,1,9200,43.9,0,bueno,dependiente,metropolitana,1,0,1
66,2963,23,4281,21.2,0,regular,desempleado,centro,1,0,1
22,2245,19,14430,33.3,1,regular,desempleado,metropolitana,0,1,0
38,3672,18,15441,24.7,0,bueno,dependiente,centro,0,1,1
68,3336,1,12814,62.3,1,bueno,dependiente,metropolitana,1,1,0
33,4564,22,13655,59.6,1,bueno,independiente,sur,1,1,1
24,1881,19,6703,10.6,1,bueno,dependiente,norte,1,1,1
43,1963,23,4229,36.9,0,regular,dependiente,norte,1,1,1
44,1921,24,4413,27.7,0,regular,dependiente,norte,1,0,1
52,3624,6,2579,70.9,0,bueno,dependiente,centro,0,1,1
34,5163,6,9565,18.0,0,bueno,independiente,metropolitana,0,0,1
67,1940,27,7643,77.1,2,malo,independiente,centro,1,0,0
45,1974,15,5955,44.3,3,regular,independiente,centro,1,0,0
32,2856,13,1024,21.8,1,bueno,independiente,centro,0,1,1
67,2158,8,3384,31.5,2,bueno,dependiente,centro,1,0,0
66,3929,19,17758,29.0,0,bueno,dependiente,sur,0,1,1
43,792,22,5089,19.5,0,malo,dependiente,centro,0,1,0
19,1614,0,10430,46.9,1,bueno,dependiente,sur,1,0,1
49,1650,16,3061,20.4,3,bueno,dependiente,metropolitana,1,0,0
46,765,29,22183,1.4,2,malo,dependiente,centro,0,0,0
25,1507,8,7326,37.4,1,regular,dependiente,norte,0,1,0
50,1544,8,9927,8.9,1,bueno,dependiente,norte,1,0,1
61,2207,26,41276,30.0,0,bueno,independiente,centro,1,1,0
23,4258,1,23424,26.8,0,bueno,independiente,centro,0,0,0
55,2159,11,6538,27.6,0,regular,desempleado,metropolitana,1,1,1
25,1458,13,5349,85.0,0,bueno,independiente,sur,0,1,1
56,2372,23,6452,46.1,1,malo,independiente,centro,1,1,0
39,4124,3,11579,49.9,0,malo,dependiente,metropolitana,0,1,0
18,1498,13,7528,9.5,1,bueno,independiente,centro,1,0,1
68,1548,4,6145,31.9,0,regular,dependiente,metropolitana,1,1,1
26,3227,23,22630,49.3,1,bueno,dependiente,norte,1,0,0
48,2185,18,7480,24.5,1,bueno,dependiente,sur,1,0,0
27,3374,14,40527,63.2,3,regular,dependiente,metropolitana,1,0,0
66,2424,11,8634,20.9,1,bueno,dependiente,metropolitana,1,1,0
56,3466,4,28275,39.3,1,bueno,independiente,metropolitana,1,1,0
59,1455,27,10406,33.3,1,bueno,estudiante,centro,1,1,0
40,2426,19,15900,48.3,0,bueno,independiente,metropolitana,1,0,1
42,2197,9,4879,32.2,1,bueno,independiente,centro,1,0,0
50,1329,12,4458,39.6,0,regular,dependiente,sur,1,1,0
58,1117,21,11179,40.3,0,malo,dependiente,norte,1,1,0
62,3439,21,16187,30.3,1,regular,independiente,centro,0,1,0
18,2048,13,8335,54.7,0,malo,dependiente,centro,1,0,0
52,1464,9,3293,49.8,0,bueno,dependiente,norte,0,0,1
23,2326,19,3127,43.2,2,malo,dependiente,sur,1,0,0
32,4290,19,2984,36.4,0,bueno,desempleado,metropolitana,0,1,1
61,780,17,2351,60.9,1,bueno,independiente,metropolitana,1,0,1
31,1155,2,8749,40.3,1,malo,dependiente,norte,0,1,0
59,1538,14,17810,38.9,1,bueno,independiente,metropolitana,1,0,0
42,5067,18,8027,47.1,1,bueno,dependiente,norte,1,0,1
30,2811,28,1665,78.9,3,bueno,dependiente,centro,0,1,0
35,3582,15,7090,18.2,0,bueno,dependiente,metropolitana,1,0,1
45,1380,10,7230,60.4,2,bueno,dependiente,norte,0,0,0
57,1394,16,35144,7.1,0,bueno,independiente,norte,1,1,0
49,3053,5,2922,49.3,0,malo,dependiente,norte,1,0,1
66,2513,2,6164,76.5,2,bueno,independiente,centro,0,1,0
63,3211,20,26745,54.8,1,bueno,dependiente,metropolitana,0,0,0
57,2222,29,11103,48.4,0,bueno,independiente,norte,0,0,1
49,2805,25,12020,33.8,0,malo,independiente,norte,0,0,1
33,2641,17,8780,45.6,1,bueno,independiente,centro,0,0,1
39,3601,1,10208,40.0,0,bueno,independiente,centro,1,0,1
24,3654,29,13965,29.3,0,bueno,desempleado,sur,1,1,1
37,1086,13,4598,39.2,0,regular,dependiente,metropolitana,0,0,1
66,793,8,14983,49.0,1,regular,independiente,metropolitana,0,0,0
40,4027,26,3099,29.7,0,regular,independiente,metropolitana,0,1,1
